word	level	pinyin	gloss
爱	HSK1	ài	to love; to be fond of; to like; affection
八	HSK1	bā	eight; 8
爸爸	HSK1	bà ba	(coll.) father; dad
杯子	HSK1	bēi zi	cup; glass
北京	HSK1	Běi jīng	Beijing, capital of the People's Republic of China
本	HSK1	běn	root; stem
不	HSK1	bù	no; not so; (bound form) not; un-
不客气	HSK1	bù kè qi	you're welcome; don't mention it
菜	HSK1	cài	dish (type of food); vegetable
茶	HSK1	chá	tea; tea plant
吃	HSK1	chī	to eat; to consume; to eat at (a cafeteria etc)
出租车	HSK1	chū zū chē	taxi; (Tw) rental car
打电话	HSK1	dǎ diàn huà	to make a telephone call
大	HSK1	dà	big; large; great; older (than another person)
的	HSK1	de	of; ~'s (possessive particle); (used after an attribute)
点	HSK1	diǎn	point; dot
电脑	HSK1	diàn nǎo	computer
电视	HSK1	diàn shì	television; TV
电影	HSK1	diàn yǐng	movie; film
东西	HSK1	dōng xī	east and west
都	HSK1	Dū	surname Du
读	HSK1	dòu	comma; phrase marked by pause
对不起	HSK1	duì bu qǐ	I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
多	HSK1	duō	many; much; too many; in excess
多少	HSK1	duō shǎo	number; amount
儿子	HSK1	ér zi	son
二	HSK1	èr	two; 2
饭馆	HSK1	fàn guǎn	restaurant
飞机	HSK1	fēi jī	airplane
分钟	HSK1	fēn zhōng	minute
高兴	HSK1	gāo xìng	happy; glad
个	HSK1	gě	used in 自个儿
工作	HSK1	gōng zuò	to work; (of a machine) to operate
狗	HSK1	gǒu	dog
汉语	HSK1	Hàn yǔ	Chinese language
好	HSK1	hǎo	good; appropriate; proper
喝	HSK1	hē	to drink; variant of 嗬
和	HSK1	hé	old variant of 和
很	HSK1	hěn	(adverb of degree); quite
后面	HSK1	hòu mian	the back; the rear; the last bit; behind; near the end; at the back
回	HSK1	huí	to circle; to go back
会	HSK1	huì	can; to have the skill; to know how to; to be likely to; to be sure to
火车站	HSK1	huǒ chē zhàn	train station
几	HSK1	jī	small table
家	HSK1	jiā	used in 家伙 and 家俱
叫	HSK1	jiào	to shout; to call
今天	HSK1	jīn tiān	today; at the present
九	HSK1	jiǔ	nine; 9
开	HSK1	kāi	to open (transitive or intransitive); (of ships, vehicles, troops etc) to start
看	HSK1	kān	to look after; to take care of
看见	HSK1	kàn jiàn	to see; to catch sight of
块	HSK1	kuài	lump; chunk; piece; classifier for pieces of cloth, cake, soap etc
来	HSK1	lái	to come; (used as a substitute for a more specific verb)
老师	HSK1	lǎo shī	teacher
了	HSK1	le	(completed action marker); (modal particle indicating change of state, situation now)
冷	HSK1	Lěng	surname Leng
里	HSK1	lǐ	variant of 里
零	HSK1	líng	zero; nought
六	HSK1	liù	six; 6
妈妈	HSK1	mā ma	mama; mommy
吗	HSK1	má	(coll.) what?
买	HSK1	mǎi	to buy; to purchase
猫	HSK1	māo	cat; (dialect) to hide oneself
没	HSK1	méi	(negative prefix for verbs) have not; not
没关系	HSK1	méi guān xi	it doesn't matter
米饭	HSK1	mǐ fàn	(cooked) rice
名字	HSK1	míng zi	name (of a person or thing)
明天	HSK1	míng tiān	tomorrow
哪	HSK1	nǎ	how; which
那	HSK1	Nā	surname Na
呢	HSK1	ne	particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?")
能	HSK1	Néng	surname Neng
你	HSK1	nǐ	you (informal, as opposed to courteous 您)
年	HSK1	Nián	surname Nian
女儿	HSK1	nǚ ér	daughter
朋友	HSK1	péng you	friend
漂亮	HSK1	piào liang	pretty; beautiful
苹果	HSK1	píng guǒ	apple
七	HSK1	qī	seven; 7
前面	HSK1	qián miàn	ahead; in front
钱	HSK1	Qián	surname Qian
请	HSK1	qǐng	to ask; to invite
去	HSK1	qù	to go; to go to (a place)
热	HSK1	rè	to warm up; to heat up
人	HSK1	rén	person; people
认识	HSK1	rèn shi	to know; to recognize
日	HSK1	Rì	abbr. for 本, Japan
三	HSK1	Sān	surname San
商店	HSK1	shāng diàn	store; shop
上	HSK1	shǎng	used in 上声
上午	HSK1	shàng wǔ	morning
少	HSK1	shǎo	few; less
什么	HSK1	shén me	what?; something
十	HSK1	shí	ten; 10
时候	HSK1	shí hou	time; length of time
是	HSK1	shì	to be (followed by substantives only); correct; right; true
书	HSK1	Shū	abbr. for 书经
谁	HSK1	shéi	who; also pr. [shuí]
水	HSK1	Shuǐ	surname Shui
水果	HSK1	shuǐ guǒ	fruit
睡觉	HSK1	shuì jiào	to go to bed; to sleep
说话	HSK1	shuō huà	to speak; to say
四	HSK1	sì	four; 4
岁	HSK1	suì	variant of 岁, year; years old
